,S,I,R,M
0,209999885.48282775,114.5170275008628,0.00013788004803793341,6.869167457346989e-06
1,209999846.946116,139.2412877216187,13.157109407754584,0.6554856127671003
2,209999800.089328,169.30351260601785,29.154674498725033,1.452482387017229
3,209999743.11616418,205.85616304993528,48.6061167087256,2.4215509051152417
4,209999673.84251195,250.3005126385051,72.2571267481553,3.5998413888226506
5,209999589.61271298,304.3403643797627,101.0143887169427,5.032524731260052
6,209999487.19776103,370.04736391759053,135.9803378604274,6.774524124135287
7,209999487.19645604,370.0482011688435,135.98078340346032,6.7745463210357535
8,209999362.67152834,449.9404124338449,178.4954221544867,8.892620524847038
9,209999211.26025292,547.0822226656004,230.18948761368483,11.46801266637383
10,209999027.15956616,665.1967182036536,293.0442568623836,14.59942973219525
11,209998803.31197536,808.8117746069961,369.46929560098033,18.406915996525534
12,209998531.13637275,983.4327713668104,462.39437840543627,23.03643247737267
13,209998200.19909638,1195.7536034300088,575.3817935895624,28.665451951307233
14,209997797.81404644,1453.9132348399046,712.762890659927,35.5097617312879
15,209997308.55646247,1767.8076196963198,879.8041023936097,43.83173486667039
16,209996713.6717788,2149.468933379787,1082.9088022296785,53.95038665423103
