,S,I,R,M
0,209999008.39085257,1830.1281695407051,-831.6180105622163,-6.901011552
1,209998387.3328646,2228.583347847107,-610.8472220216021,-5.068990428464044
2,209997631.061102,2713.787392842948,-342.0103917220238,-2.8381031124880325
3,209996710.13915086,3304.6253442852612,-14.642983319664523,-0.12151179479197799
4,209995588.72302058,4024.0928390979516,383.99761489978556,3.186525475286844
5,209994223.16676572,4900.19053466405,869.4279303005665,7.214769418689475
6,209992560.32486084,5967.013001317706,1460.542128544051,12.120009395240366
7,209990535.4854709,7266.074294845414,2180.3470712919548,18.09316312928681
8,209988069.8544991,8847.921547400983,3056.8572505021234,25.366703138462007
9,209985067.49297294,10774.098999865013,4124.184329278381,34.2236980650363
10,209981411.58928618,13119.538351837284,5423.863542594172,45.00881954036721
11,209976959.92228365,15975.467621207528,7006.468354149979,58.14174108377373
12,209971539.34020564,19452.950474840818,8933.575871880008,74.1334477001446
13,209964939.04298493,23687.191919902765,11280.159008486422,93.60608673366121
14,209956902.40997383,28842.775166921532,14137.497733005257,117.31712629201647
15,209947117.06028175,35120.029374182064,17616.721592033464,146.1887521324857
16,209935202.76666245,42762.77000613793,21853.119698262748,181.34363321808715
17,209920696.764125,52067.704010251764,27011.383437566026,224.14842724741447
18,209903035.89863387,63395.85244092711,33291.98223660512,276.2666886548897
19,209881534.9465631,77186.41520752388,40938.915036806044,339.72319262824396
20,209855360.2987893,93973.58809623653,50249.131003593575,416.98211093254986
21,209823498.04103044,114406.94295985547,61583.974028048884,511.041981760733
22,209784715.27073562,139276.09972799654,75383.07851538777,625.5510210851721
23,209737513.2671735,169540.55504541157,92181.23073807715,764.9470431394121
24,209680070.87267718,206365.68750183922,112628.81271136398,934.6271097275832
25,209610176.1480565,251166.13274366787,137516.5661708792,1141.1530290151302
26,209525144.0353985,305657.90998350043,167805.55462853392,1392.4999895064723
27,209421717.40279654,371920.87731841864,204663.36293043545,1698.3569546542883
28,209295948.47122276,452473.28340541275,249507.7564124983,2070.488959410812
29,209143057.2584392,550360.3445595514,304059.22387398203,2523.173127320722
30,208957263.36046058,669258.8723331285,370404.0451822439,3073.7220241082787
31,208731587.19510472,813599.9497731221,451069.7453246021,3743.109797656186
32,208457616.85891682,988711.4184814354,549115.0043248568,4556.718277013394
33,208125237.15432745,1200981.3667737353,668236.2573276059,5545.221571338313
34,207722318.35502797,1458042.7212379752,812893.2953918367,6745.628342332211
35,207234364.2136622,1768977.1902213998,988456.0958704667,8202.500246038842
36,206644122.0120541,2144533.8549948204,1201374.7707370226,9969.362214188466
37,205931162.6784762,2597353.2278699866,1459373.779563171,12110.31409077195
38,205071446.85038465,3142181.089833424,1771670.217730101,14701.842052006747
39,204036904.0404894,3796047.340734211,2149213.808644053,17834.81013253129
40,202795067.54610726,4578372.9759065965,2604942.893482488,21616.584503827373
41,201308827.94579604,5510952.9730372075,3154045.8781289267,26173.203038003838
42,199536392.78502893,6617744.834543961,3814210.9330363595,31651.44739091648
43,197431567.82539055,7924373.538710631,4605838.033325536,38220.60257344865
44,194944502.15818655,9457247.488002896,5552176.753398858,46073.60041186224
45,192023058.27313325,11242173.348723663,6679341.234391183,55427.143752119366
46,188614967.22243884,13302370.492738675,8016141.974218645,66520.31060409111
47,184670892.53488532,15655831.03423102,9593665.365857663,79611.06502617395
48,180148436.8818618,18312062.511932548,11437742.41670213,101758.18950366025
49,175016969.17080522,21268395.046438813,13580008.08791439,134627.6948417329
50,169262927.50363305,24506226.805147767,16051509.698756507,179335.99246285824
51,162894992.78856936,27987789.58872177,18880324.912933834,236892.7097751944
52,155948291.82048607,31654178.588602122,22089406.40311968,308123.1877923193
53,148486671.50174266,35425422.27092762,25694319.11067994,393587.116649932
54,140602185.97948253,39203190.45144752,29701121.229848567,493502.3392215265
55,132411310.5561212,42876321.592891544,34104683.43764475,607684.4133426449
56,124048001.57764742,46328756.7248984,38887729.58098449,735512.1164698376
57,115654410.31254214,49448858.30510814,44020805.07308346,875926.3092663895
58,107370611.61337243,52138677.516133696,49463246.084353425,1027464.7861405596
59,99324928.66412485,54321677.84452779,55165063.4730023,1188330.0183451832
60,91626245.99349888,55947760.81856319,61069511.661320895,1356481.5266171636
61,84359183.9404536,56995053.640675664,67116021.09132779,1529741.3275430717
62,77582351.83920145,57468596.08381957,73243151.93285109,1705900.1441280304
63,71329314.8450738,57396599.74147688,79391271.72402893,1882813.6894205506
64,65611541.32636012,56825228.86804991,85504748.28542998,2058481.5201601493
65,60422479.91438567,55812862.652493596,91533552.7538394,2231104.6792814974
66,55741998.00798663,54424619.051760234,97434261.22681932,2399121.713433969
67,51540608.45330384,52727653.858169205,103170512.55410668,2561225.134420432
68,47783134.30004615,50787483.86037901,108713020.00098185,2716361.838593139
69,44431656.54854802,48665372.75916739,114039249.16695456,2863721.525330208
70,41447731.269473426,46416681.011653006,119132870.70130284,3002717.0175709203
71,38793948.218109995,44090010.335969105,123983081.58954684,3132959.8563742484
72,36434943.38307287,41726953.40219532,128583869.37134832,3254233.8433836726
73,34337986.98019953,39362270.6005946,132933273.92347054,3366468.4957355205
74,32473259.207137242,37024343.15620979,137032683.88983238,3469713.746820811
75,30813908.347060684,34735784.39411127,140886190.54651317,3564116.7123150993
76,29335965.846962072,32514122.180547036,144500011.02236718,3649900.950123958
77,28018174.30835758,30372492.304286394,147881985.0239322,3727348.3634240725
78,26841768.502018828,28320303.797933254,151041143.99182463,3796783.7082235357
79,25790236.96792325,26363853.11939322,153987348.36279225,3858561.5498915105
80,24849082.280058835,24506875.47243265,156730986.79955915,3913055.4479495594
81,24005591.168540422,22751029.26826279,159282730.4437915,3960649.1194054633
82,23248620.8602238,21096314.70607454,161653335.1078148,4001729.325887069
83,22568404.723820284,19541430.438408636,163853484.59796798,4036680.2398033245
84,21956378.16687478,18084073.890851557,165893668.8789431,4065879.063330834
85,21405024.398900364,16721191.481721252,167784091.42255336,4089692.6968253097
86,20907738.897364244,15449185.068974536,169534600.75624475,4108475.2774166698
87,20458711.008157533,14264080.67320303,171154641.88637114,4122566.4322685264
88,20052820.949340206,13161665.047797693,172650534.21481264,4134979.7880496783
89,19685550.475633133,12137595.096528064,174030423.90809178,4146430.5197472367
90,19352905.539581146,11187484.542859763,175302622.3201317,4156987.5974276345
91,19051349.41244797,10306971.675693722,176474962.88660786,4166716.0252507175
92,18777744.87709615,9491771.456270328,177554806.7782513,4175676.8883825173
93,18529304.259651493,8737714.782347871,178549053.51691046,4183927.4410904692
94,18303546.216651645,8040777.272514577,179464155.28534386,4191521.225490286
95,18098258.334062815,7397099.555098266,180306133.89846098,4198508.212378329
96,17911464.721316762,6803000.719419372,181080599.60203537,4204934.9572288655
97,17741397.89647184,6254986.307546075,181792771.0301754,4210844.765807056
98,17586474.357927352,5749751.987157047,182447495.78992987,4216277.86498608
99,17445273.32462523,5284183.84544993,183049271.25462878,4221271.575296408
100,17316518.201478098,4855356.075346168,183602265.2406682,4225860.482507863
101,17199060.39110879,4460526.6840262795,184110336.31868747,4230076.606177764
102,17091865.128121614,4097131.7360409317,184577053.5722237,4233949.563614068
103,16993999.059234083,3762778.545319389,185005715.6673262,4237506.728120651
104,16904619.332768463,3455238.149238285,185399369.1372644,4240773.380729209
105,16822963.995211385,3172437.330849967,185760825.81904635,4243772.8548926385
106,16748343.521658046,2912450.4001170374,186092679.40439534,4246526.673829915
