,S,I,R,M
0,209999374.64036143,1154.1727843157091,-521.9121341951264,-6.901011552
1,209998982.96870583,1405.4597850436544,-383.3594990009811,-5.068991805018336
2,209998506.02326196,1711.456017664146,-214.64117718736784,-2.838104627686609
3,209997925.239107,2084.072041083064,-9.189638156016898,-0.12151048982850257
4,209997218.00986737,2537.8111685271256,240.99243076556345,3.1865355098945174
5,209996356.8080925,3090.3337502713184,545.6433609415444,7.21479898706823
6,209995308.1142468,3763.144207042971,916.6214731616803,12.120077232645837
7,209994031.1127006,4582.427488117545,1368.3665155633128,18.093300600943717
8,209992476.10413435,5580.067410713736,1918.4615026678684,25.36696145682667
9,209990582.57269967,6794.886366849856,2588.316783890907,34.224159308754224
10,209988276.8330617,8274.15442600573,3404.002907300835,45.0096133950808
11,209985469.1660942,10075.426237482036,4397.264605959214,58.14307017353221
12,209982050.33241197,12268.776731643165,5606.755239333224,74.13562578985918
13,209977887.3289782,14939.521898674668,7079.539536565124,93.60959618235405
14,209972818.2250275,18191.52944343522,8872.922832649974,117.32270425663428
15,209966645.8783999,22151.24653951952,11056.677549785643,146.19751965621614
16,209959130.29078,26972.599023434235,13715.752919983157,181.35728821700687
17,209949979.30893925,32842.94911176245,16953.572430437413,224.169532617867
18,209938837.31686804,39990.33818039287,20896.04586860957,276.299101864691
19,209925271.48878664,48692.288578266474,25696.449945737742,339.77270559996686
20,209908755.08307868,59286.495301652016,31541.36422864098,417.05740228357166
21,209888647.14911315,72183.80624583857,38657.8886197033,511.1560327140398
22,209864167.89016527,87883.9704422633,47322.41618718429,625.7232192540155
23,209834368.772427,106994.72902445587,57871.2922525917,765.2063061921297
24,209798096.28906503,130254.93544649213,70713.7589782138,935.0165202550302
25,209753948.07591736,158562.5212450159,86347.66613962094,1141.736707150354
26,209700219.829088,193008.27231940566,105378.52532653582,1393.3732767731863
27,209634841.19191468,234916.5480552087,128542.59854617853,1699.6614935180364
28,209555298.4606391,285894.2593342491,156734.84503183345,2072.435004473803
29,209458541.60810363,347889.6158883929,191042.70349423535,2526.07252707814
30,209340872.75381604,423262.3475540554,232786.861717308,3078.0369273122433
31,209197812.83664957,514867.27856239845,283570.3603064034,3749.5244966800674
32,209023942.908581,626153.2575523414,345337.58884911455,4566.245032150317
33,208812716.22207832,761279.4689943937,420444.9527098771,5559.356231687137
34,208556237.22004744,925250.9988148079,511745.2024123152,6766.578744090775
35,208245003.7923207,1124075.08677216,622687.6002931546,8233.520628021013
36,207867609.93694937,1364938.610177361,757436.2114287013,10015.241460199752
37,207410407.5427663,1656405.7835727578,921008.5875814605,12178.086091430634
38,206857128.78605807,2008632.523635282,1119436.8754076385,14801.814908626662
39,206188475.1288968,2433590.0244200435,1359952.7969432406,17982.049749338203
40,205381685.77897114,2945284.333650448,1651196.8473604876,21833.04003045157
41,204410108.49134147,3559950.577325151,2003450.2021930248,26490.72915407956
42,203242809.56477192,4296189.436617795,2428884.9355930556,32116.063032056536
43,201844278.45313373,5174999.232534085,2941823.8881425173,38898.4262021954
44,200174305.70497844,6219639.73871214,3558995.5443625157,47059.01196000538
45,198188139.98344788,7455244.871297026,4299761.317625154,56853.82764578258
46,195837057.7556651,8908083.692043236,5186282.648202331,68575.90410764246
47,193069501.87533495,10604358.288482463,6243583.71133726,82556.12486240195
48,189832952.63925618,12568431.929922283,7499453.499469024,99161.93137247636
49,186076672.4880827,14820413.56008362,8984120.924782138,118793.02707168707
50,181755395.87632307,17373098.82965928,10725387.000241341,146118.2937992934
51,176833903.10891217,20228394.133033905,12752533.05059585,185169.7074813666
52,171292215.67276418,23373528.09201655,15097018.570159143,237237.66508805737
53,165130897.82247302,26777562.848038614,17788020.39536482,303518.9341502597
54,158375695.4837564,30388904.052398898,20850368.480886053,385031.9829866207
55,151080574.25408894,34134594.741175376,24302305.90360657,482525.1011565047
56,143328234.89675108,37922078.697289966,28153299.797024257,596386.6089634501
57,135227462.96564627,41643781.555679694,32402186.69503047,726568.7836714822
58,126907206.53517887,45184310.85288037,37035945.09897101,872537.5129950496
59,118507959.07855673,48429449.63842925,42029333.8222231,1033257.4608153746
60,110171649.07880975,51275614.386681624,47345518.75872947,1207217.7758015136
61,102031587.87156063,53638258.26721891,52937656.80111118,1392497.0601320984
62,94203976.43671948,55457910.823378876,58751252.6975189,1586860.04240784
63,86782047.5390805,56703086.008754574,64726992.64690166,1787873.8052906566
64,79833285.4524544,57369971.96560116,70803713.02603306,1993029.55594016
65,73399537.46791701,57479418.73137009,76921186.87925051,2199856.921491031
66,67499381.0485445,57072110.68368011,83022487.37512809,2406020.8926751753
67,62131909.5866305,56202906.184312224,89055788.54313615,2609395.685947437
68,57281123.119473435,54935200.70132152,94975562.33500972,2808113.844223198
69,52920277.39647022,53335921.44377048,100743209.06373495,3000592.096052638
70,49015766.19024448,51471488.30303663,106327207.97502862,3185537.5317208394
71,45530320.6591518,49404843.48999395,111702897.27058294,3361938.580301066
72,42425470.45692005,47193489.725790925,116851994.4808807,3529045.336437768
73,39663315.26516238,44888385.1279651,121761956.30449213,3686343.302408988
74,37207709.67793325,42533507.759932145,126425258.70291403,3833523.8592521767
75,35024982.49897164,40165905.383140005,130838658.15290524,3970453.965014632
76,33084307.267552778,37816069.33382182,135002476.57453242,4097146.8241258245
77,31357825.13870323,35508503.15099266,138919937.06945062,4213734.640891725
78,29820601.526892003,33262388.746210348,142596565.64726153,4320444.079669487
79,28450478.543632768,31092281.370830715,146039665.38931566,4417574.696260445
80,27227868.367093686,29008787.76968883,149257863.50410375,4505480.359153435
81,26135519.01693136,27019199.574318293,152260727.8871094,4584553.521679848
82,25158273.526066124,25128066.80024112,155058447.5594024,4655212.114330731
83,24282835.79039963,23337705.16989245,157661570.25842425,4717888.781327877
84,23497550.905268416,21648636.801779445,160080790.12112665,4773022.1718686335
85,22792204.043697387,20059967.39608488,162326778.5573303,4821050.00293462
86,22157839.447250154,18569705.063882373,164410051.85994634,4862403.628964547
87,21586599.524632007,17175026.89622979,166340869.70080286,4897503.878383212
88,21071583.1099829,15872499.622828742,168129159.32308364,4926757.944148119
89,20606721.417776685,14658260.532937681,169784460.9065734,4950557.142755562
90,20186669.99779263,13528164.4071165,171314379.0269009,4970786.568228368
91,19806714.938884556,12477901.659987118,172725932.49056542,4989450.910597183
92,19462691.6236134,11503092.301072663,174027554.39835373,5006661.6769953
