,S,I,R,M
0,209999374.64036143,1154.1727843157091,-521.9121341951264,-6.901011552
1,209998982.96870583,1405.4597850436544,-383.3594990009811,-5.068991805018336
2,209998506.02326196,1711.456017664146,-214.64117718736784,-2.838104627686609
3,209997925.239107,2084.072041083064,-9.189638156016898,-0.12151048982850257
4,209997218.00986737,2537.8111685271256,240.99243076556345,3.1865355098945174
5,209996356.8080925,3090.3337502713184,545.6433609415444,7.21479898706823
6,209995308.1142468,3763.144207042971,916.6214731616803,12.120077232645837
7,209994031.1127006,4582.427488117545,1368.3665155633128,18.093300600943717
8,209992476.10413435,5580.067410713736,1918.4615026678684,25.36696145682667
9,209990582.57269967,6794.886366849856,2588.316783890907,34.224159308754224
10,209988276.8330617,8274.15442600573,3404.002907300835,45.0096133950808
11,209985469.1660942,10075.426237482036,4397.264605959214,58.14307017353221
12,209982050.33241197,12268.776731643165,5606.755239333224,74.13562578985918
13,209977887.3289782,14939.521898674668,7079.539536565124,93.60959618235405
14,209972818.2250275,18191.52944343522,8872.922832649974,117.32270425663428
15,209966645.8783999,22151.24653951952,11056.677549785643,146.19751965621614
16,209959130.29078,26972.599023434235,13715.752919983157,181.35728821700687
17,209949979.30893925,32842.94911176245,16953.572430437413,224.169532617867
18,209938837.31686804,39990.33818039287,20896.04586860957,276.299101864691
19,209925271.48878664,48692.288578266474,25696.449945737742,339.77270559996686
20,209898428.3089285,69118.63393972193,32029.544751548263,423.5123957725527
21,209860331.69038373,98106.88613630427,41019.046917414904,542.376576596868
22,209806271.98269382,139238.83883480728,53778.09470894608,711.0837792712257
23,209729576.73816422,197587.5847695982,71885.17149838031,950.5055859505228
24,209620801.02692538,280331.2244323952,97577.52454287905,1290.2241200512349
25,209466592.1753472,397611.84090179385,134023.84618745837,1772.1375882733082
26,209248106.55578467,563730.3614484062,185707.55456359326,2455.528230462447
27,208938818.80030012,798793.8049815295,258963.23924651922,3424.1555014610935
28,208501524.51967964,1130956.4646254405,362722.89256337483,4796.123155126528
29,207884307.93137422,1599409.759302668,509544.82520886435,6737.484136963365
30,207015252.67032582,2258252.358213333,717014.21210474,9480.759377848151
31,205795772.7727776,3181263.837682316,1009613.7173263223,13349.672233759491
32,204092734.2291554,4467322.554197341,1421151.957691625,18791.25897753298
33,201730196.0296085,6245607.733989943,1997780.475535597,26415.760885292693
34,198482858.4928567,8678617.0124877,2801481.750017964,37042.744655488954
35,194075374.6001604,11959270.20063907,3913607.3138682973,51747.88534979581
36,188194429.54979822,16296151.760858895,5437520.775466745,71897.91389618696
37,180522790.0538554,21879403.28157393,7485982.996142255,111823.66844729762
38,170803352.3375489,28821717.366871487,10196043.609889222,178886.6857074571
39,158931795.0504653,37078477.960569985,13710771.656398054,278955.33258365374
40,145055923.70867035,46370189.42651333,18156668.45893036,417218.4059023905
41,129635629.8486698,56150760.53671402,23616537.306220442,597072.3084105484
42,113412188.8368719,65665305.83689823,30103452.02737484,819053.298869929
43,97271235.42511882,74102473.97636552,37546056.10350731,1080234.495021907
44,82047344.06081791,80785526.06326687,45792732.946964815,1374396.928964941
45,68357468.36071652,85315414.67588063,54634162.207825884,1692954.755591779
46,56527864.196486145,87610117.87796196,63835733.14994573,2026284.7756204216
47,46618154.52706136,87848112.95646957,73168727.04974493,2365005.4667358156
48,38500864.08354425,86365659.61982721,82432585.90136611,2700890.3952731364
49,31949263.042181157,83557262.2856005,91466145.69255608,3027328.9796686787
50,26705710.082016498,79805110.1990305,100149765.88217185,3339413.8367884434
51,22523526.964826323,75440927.96153705,108401751.06682244,3633794.0068248226
52,19187036.3913731,70732415.67293069,116172128.22568645,3908419.710019412
53,16517500.264759388,65884387.86579763,123435848.37545715,4162263.4939966584
54,14371534.85903184,61046870.27479113,130186531.21296804,4395063.653218787
55,12636331.745421994,56325349.41360601,136431210.15838543,4607108.682598702
56,11224094.450572064,51790682.33938213,142186157.18841356,4799066.02164548
57,10066835.662140887,47487626.23441717,147473687.12962037,4971850.973838326
58,9111963.382076701,43441730.32701776,152319777.22429547,5126529.066626565
59,8318726.6120506385,39664695.98523351,156752332.50183105,5264244.900906301
60,7655437.350250705,36158444.177278884,160799947.12810838,5386171.3443864435
61,7097336.375260649,32918150.648172524,164491038.94425288,5493474.032335245
62,6624968.987010769,29934483.01156809,167853260.78042758,5587287.221009273
63,6222954.241190126,27195233.021699235,170913114.76945522,5668697.967674801
64,5879053.275433839,24686496.253301136,173695714.11250383,5738736.358778467
65,5583463.124527067,22393515.88273645,176224650.90431768,5798370.08843738
66,5328279.9072803315,20301278.577389896,178521939.38461182,5848502.130740803
67,5107089.144225501,18394928.21939923,180608012.05588776,5889970.580511843
68,4914651.628201199,16660046.268936757,182501752.11914095,5923549.983746314
69,4746661.311447098,15082834.891629945,184220550.1352183,5949953.66173297
70,4599557.672787473,13650229.544114852,185779643.91912103,5970568.864002551
71,4470379.479950504,12349960.726288786,187190436.6462973,5989223.147491784
72,4356650.157127959,11170579.443439163,188466672.1585621,6006098.240895786
73,4256287.406931212,10101457.102635635,189620895.46912336,6021360.021333242
74,4167531.5441891486,9132767.742530035,190664541.03181195,6035159.681491529
75,4088888.3433010634,8255458.403067652,191608018.39151278,6047634.862143077
76,4019083.20367083,7461211.889444367,192460794.17068815,6058910.736218171
77,3957024.188840603,6742405.031953497,193231469.74337325,6069101.035851981
78,3901772.059988168,6092064.686460311,193927854.23592642,6078309.017642254
79,3852515.851503342,5503823.082963397,194557032.7014675,6086628.364088588
80,3808552.8606635635,4971873.655862167,195125429.46235308,6094144.021142649
81,3769272.1709045316,4490928.137649681,195638866.71830836,6100932.973156599
82,3734141.017951702,4056175.4370156764,196102618.58760813,6107064.957445842
83,3702693.4543073736,3663242.6299184607,196521460.7945149,6112603.1212838255
84,3674520.880802721,3308158.25098462,196899716.24372265,6117604.624513201
85,3649264.1019997033,2987317.9698538934,197241296.73702222,6122121.191145222
86,3626606.631060292,2697452.663243199,197549741.09232476,6126199.613392168
87,3606269.0237409817,2435598.841313361,197828249.92342487,6129882.211543806
88,3588004.0637845253,2199071.350973351,198079717.3322414,6133207.253020126
89,3571592.6557355723,1985438.2549253884,198306759.75555813,6136209.333798631
90,3556840.3080507517,1792497.7704295465,198511742.19628033,6138919.725258603
91,3543574.1108152037,1618257.1435960233,198696802.05629745,6141366.689312774
