,S,I,R,M
0,209999008.39085257,1830.1281695407051,-831.6180105622163,-6.901011552
1,209998387.33281067,2228.583344065411,-610.8472241169388,-5.06899044585241
2,209997631.061075,2713.787383632811,-342.0103968252126,-2.838103154835649
3,209996710.13916215,3304.6253274623646,-14.64299264102754,-0.12151187214307434
4,209995588.7230429,4024.0928117837843,383.99759976544243,3.186525349698212
5,209994223.166784,4900.190493087188,869.4279072639591,7.2147692275252195
6,209992560.32490993,5967.012940565096,1460.5420948818712,12.120009115900293
7,209990535.4855682,7266.0742085397715,2180.3470234694155,18.093162732443037
8,209988069.8546483,8847.92142729569,3056.8571839494243,25.366702586197857
9,209985067.4931885,10774.098835335835,4124.184238107889,34.22369730848745
10,209981411.5895951,13119.538129239694,5423.8634192416475,45.00881851676683
11,209976959.92271203,15975.467323061215,7006.468188925458,58.14173971270653
12,209971539.34078225,19452.950078813035,8933.575652400856,74.13344587885739
13,209964939.0437601,23687.191397525105,11280.15871896862,93.60608433115016
14,209956902.41100392,28842.774481977016,14137.497353357432,117.31712314158817
15,209947117.06163588,35120.02848068943,17616.72109674343,146.18874802241638
16,209935202.76843408,42762.76884583762,21853.119054999785,181.34362788005956
17,209920696.76643136,52067.70250940349,27011.38260539416,224.14842034186407
18,209903035.90161532,63395.85050638589,33291.98116380401,276.26667975255003
19,209881534.95040575,77186.41272183317,40938.913658128025,339.72318118751446
20,209855360.30372113,93973.58491147007,50249.12923678012,416.98209627091006
21,209823498.0473417,114406.93889002514,61583.971769590724,511.04196301932024
22,209784715.27879068,139276.09453948165,75383.0756352124,625.550997184389
23,209737513.27743375,169540.54844529374,92181.22707286128,764.9470127242658
24,209680070.88571575,206365.6791233799,112628.80805635241,934.6270710988241
25,209610176.16458917,251166.1221283363,137516.56026966491,1141.1529800449855
26,209525144.05631804,305657.89655914874,167805.5471603498,1392.4999275332511
27,209421717.42922282,371920.8603718821,204663.35349470715,1698.356876353802
28,209295948.50454834,452473.2620496722,249507.74450936023,2070.4888606353707
29,209143057.30039173,550360.3176937565,304059.2088808789,2523.1730029041864
30,208957263.41318697,669258.8385940901,370404.0263244889,3073.7218676221673
31,208731587.26125273,813599.9074775797,451069.72164023004,3743.1096011179106
32,208457616.94175944,988711.3655569504,549114.9746214595,4556.718030527646
33,208125237.25788885,1200981.300678021,668236.2201298598,5545.221262662378
34,207722318.48426232,1458042.6388663687,812893.2488794358,6745.627956358723
35,207234364.37460908,1768977.0877997156,988456.0378023743,8202.499764173395
36,206644122.21203268,2144533.7279650057,1201374.6983640664,9969.361613616866
37,205931162.92634442,2597353.070768478,1459373.6895253663,12110.313343612093
38,205071447.15674585,3142180.8961696513,1771670.1059387098,14701.841124329741
39,204036904.4179681,3796047.1028863583,2149213.670150209,17834.808983269148
40,202795068.0095168,4578372.685047496,2604942.722334352,21616.58308358585
41,201308828.5123456,5510952.619126752,3154045.6672231746,26173.201287839594
42,199536393.47433275,6617744.406420565,3814210.673973731,31651.44524113088
43,197431568.65941393,7924373.0243369425,4605837.716287535,38220.59994255079
44,194944503.16077575,9457246.874924408,5552176.367062272,46073.59720589487
45,192023059.46938145,11242172.624799581,6679340.7659162795,55427.139864556855
46,188614968.63749355,13302369.647208888,8016141.4093512595,66520.30591664407
47,184670894.19223523,15655830.059141394,9593664.689180419,79611.0594108845
48,180148438.80121684,18312061.403869282,11437471.615495594,102028.17941051038
49,175016971.3653766,21268393.808473486,13579467.146436363,135167.67970464515
50,169262929.97739574,24506225.44873303,16050698.602119265,180145.97174642642
