,S,I,R,M
,S,I,R,M
0,209999887.14841402,102.66776844571578,9.700536861733546,0.48327958306978824
1,209999852.6016949,124.83214213573632,21.495268959546223,1.0708917216449818
2,209999810.59688511,151.78145082549065,35.836299793851985,1.7853601578956029
3,209999759.5239068,184.54868169518545,53.273334486453564,2.6540711350639423
4,209999697.4250943,224.38982460233018,74.4747501807124,3.7103231222740263
5,209999621.9201577,272.83201328333354,100.25321507553764,4.994603151732524
6,209999530.11495084,331.7320587047042,131.59683800485166,6.556138687041923
7,209999418.49053785,403.34761768695597,169.70704242092958,8.45478450050828
8,209999282.76832116,490.4237239969367,216.04461632701313,10.763316875261342
9,209999117.7460489,596.2979975930241,272.38570299896344,13.570223056292358
10,209998917.09843147,725.0285631124156,340.8898782310174,16.983092850673124
11,209998673.13471463,881.5495783476523,424.18292291449046,21.132742347499963
12,209998376.5039275,1071.8603305797715,525.4574627271435,26.178227775148525
13,209998015.8365206,1303.2551435528533,648.5953311047168,32.31294160984048
14,209997577.30865538,1584.6028995663937,798.3163436451683,39.77202449862054
