,S,I,R,M
0,209998994.88973343,1854.9205462216726,-842.9092681,-6.901011552
1,209998365.41913953,2258.773020676016,-619.1231695176389,-5.0689924362917465
2,209997598.90342835,2750.549277976515,-346.61459990608193,-2.8381080699915766
3,209996665.50756583,3349.3900848881062,-14.776129058111357,-0.12152099969518591
4,209995528.90219197,4078.6024484255845,389.30884943237555,3.1865102393083
5,209994144.8503952,4966.566138041997,881.368725214735,7.214745702623199
6,209992459.48709455,6047.837303734204,1480.5556317501453,12.119973836135339
7,209990407.2243914,7364.491969194811,2210.1905323933347,18.093111103972515
8,209987908.20158374,8967.761428753909,3098.6703618633765,25.366628278727838
9,209984865.18117064,10920.02280924049,4180.572425245206,34.22359157535706
10,209981159.77075833,13297.221689758377,5497.99888177443,45.00866923295407
11,209976647.82485956,16191.820203931664,7102.2134069981985,58.14153000725952
12,209971153.84938636,19716.384078871975,9055.633382682852,74.13315218187688
13,209964464.19339645,24007.946305878362,11434.25462866177,93.60567357292133
14,209956318.7667488,29233.314434436717,14330.602269171584,117.31654872005667
15,209946400.96681112,35595.52382752617,17857.32142276554,146.18794397672278
16,209934325.42998868,43341.68177193532,22151.54574167779,181.34250044481257
17,209919623.14346185,52772.49843860154,27380.21126178112,224.14683567008694
18,209901723.355128,64253.861850850095,33746.518571862674,276.26444602401625
19,209879931.60388958,78230.88692476823,41497.789159556974,339.72002247688766
20,209853403.0539581,95244.95510262345,50935.013320496284,416.9776143094056
21,209821110.1526562,115954.36295286364,62424.44880703405,511.0355811508438
22,209781803.43780884,141159.31708656342,76411.7032201416,625.5418781166326
23,209733964.09491193,171832.15018494707,93438.8209604082,764.9339376913315
24,209675746.6029562,209153.78937612587,114164.9994061732,934.6082621858516
25,209604909.51056305,254557.68268190688,139391.6809177524,1141.1258387818489
26,209518732.05197668,309782.57829018077,170092.90908417318,1392.4606501616083
27,209413913.9521354,376935.74742277706,207452.0005540996,1698.2998875045987
28,209286455.39551082,458568.43060904543,252905.76789708555,2070.4059797990963
29,209131513.76991394,557765.4455832955,308197.73228002654,2523.052218043164
30,208943233.48768348,678250.9847284833,375441.98205178836,3073.545531898331
31,208714545.0021209,824512.5919776976,457199.55411406833,3742.8517838096095
32,208436929.18396372,1001945.0546441731,556569.4207533497,4556.340630354613
33,208100143.66151664,1217015.345018448,677296.3251437754,5544.668314802629
34,207691908.790864,1477448.6151112628,823897.7767085708,6744.817311360807
35,207197552.9364949,1792433.3307379484,1001812.4218048864,8201.310957953217
36,206599620.1505549,2172840.588886244,1217571.6423089951,9967.618243606099
