,S,I,R,M
0,209999887.14632615,102.66910791233994,9.701249657127738,0.4833150944508379
1,209999852.59661782,124.8353994286415,21.49700232413963,1.0709780776611462
2,209999810.58762553,151.7873915981163,35.83946117011441,1.7855176572818585
3,209999759.50889555,184.55831280757306,53.27845967553691,2.6543264713693686
4,209999697.40228006,224.40446258256196,74.48253977474644,3.7107111989145345
5,209999621.88687047,272.8533711064481,100.26458063792438,4.995169382687495
6,209999530.06772965,331.7623556069942,131.6129605094035,6.556941908285004
7,209999418.42492083,403.3897179166764,169.72944609042597,8.455900648635726
8,209999282.67856467,490.4813118765991,216.07526179640038,10.76484362887086
9,209999117.62478927,596.3757981037354,272.42710470529056,13.572285684336395
10,209998916.9362472,725.1326194945684,340.9452521481179,16.985851572582316
11,209998672.9195891,881.687601052573,424.2563722624422,21.136401585205572
12,209998376.2205606,1072.0421354375699,525.5542111663875,26.183047770787503
13,209998015.46547145,1303.4932014076544,648.7220152603192,32.31925299927857
14,209997576.82527518,1584.9130250760868,798.4813797072943,39.780246575442504
